index,Model Number,Height,Width,Depth,URL
0,WP3410-BK,0.87,0.67,1.2,
1,WP3410-WH,0.87,0.67,1.2,
2,WP3410-XX,0.87,0.67,1.2,https://www.legrand.us/onq/networking/wired-networks/data-modules/PS11050KIT4V
3,WP3411-BK,0.87,0.67,1.2,
4,WP3411-BR,0.87,0.67,1.2,
5,WP3411-GRY,0.87,0.67,1.2,
6,WP3411-IV,0.87,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3481-WH
7,WP3411-LA,0.87,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3481-WH
8,WP3411-WH,0.87,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3481-LA
9,WP3411-XX,0.87,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3481-IV
10,WP3412-BK,0.87,0.67,1.2,
11,WP3412-BR,0.87,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3481-BR
12,WP3412-GRY,0.87,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3481-BK
13,WP3412-IV,0.87,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3479-WH
14,WP3412-LA,0.87,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3479-WH
15,WP3412-WH,0.87,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3479-LA
16,WP3412-XX,0.87,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3479-IV
17,WP3413-BK,0.87,0.665,1.18,
18,WP3413-BR,0.87,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3479-BR
19,WP3413-GRY,0.87,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3479-BK
20,WP3413-IV,0.87,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3476-WH
21,WP3413-LA,0.87,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3476-WH
22,WP3413-WH,4.19,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3476-RE
23,WP3413-XX,4.19,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3476-OR
24,WP3414-BK,4.19,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3476-LA
25,WP3414-BR,4.19,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3476-IV
26,WP3414-GRY,4.19,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3476-GY
27,WP3414-IV,4.19,0.665,1.18,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3476-BR
28,WP3414-LA,4.19,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3476-BK
29,WP3414-WH,4.19,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3476-BE
30,WP3414-XX,4.19,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3475-WH
31,WP3416-BK,4.19,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3475-WH
32,WP3416-BR,4.19,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3475-LA
33,WP3416-GRY,4.19,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3475-IV
34,WP3416-IV,4.19,0.67,1.2,
35,WP3416-LA,4.19,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3475-BR
36,WP3416-WH,4.19,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3475-BK
37,WP3416-XX,4.19,0.67,1.2,
38,WP3455-BK,4.19,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3464-WH
39,WP3455-BR,4.19,0.67,1.2,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3464-WH
40,WP3455-GRY,4.19,0.67,0.79,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3464-LA
41,WP3455-IV,4.19,0.67,0.79,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3464-IV
42,WP3455-LA,4.19,0.67,0.79,
43,WP3455-WH,4.19,0.67,0.79,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3464-BR
44,WP3455-XX,4.19,0.67,0.79,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3464-BK
45,WP3457-BK,4.19,0.67,0.79,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3457-WH
46,WP3457-BR,4.19,1.65,0.28,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3457-WH
47,WP3457-GRY,4.19,1.65,0.28,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3457-LA
48,WP3457-IV,4.19,1.65,0.28,https://www.legrand.us/onq/structured-wiring/preconfigured/inserts/WP3457-IV
